sparsity,accuracy
50.118816122563594,68.91089108910892
60.555914411915005,68.99009900990099
69.87939615437158,68.5940594059406
80.227951556078,66.25742574257426
89.91909709866039,59.722772277227726
50.118816122563594,74.17821782178218
60.555914411915005,72.1980198019802
69.87939615437158,71.24752475247524
80.227951556078,67.48514851485149
89.91909709866039,61.26732673267327
50.118816122563594,71.52475247524752
60.555914411915005,71.32673267326733
69.87939615437158,69.66336633663366
80.227951556078,66.77227722772277
89.91909709866039,59.24752475247525
